movie_name,ranking,score,quote,score_num
房间,235,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,139170人评价
千钧一发,236,8.7,一部能引人思考的科幻励志片。,80356人评价
遗愿清单,237,8.5,用剩余不多的时间，去燃烧整个生命。,120318人评价
蝴蝶,238,8.6,我们长途跋涉寻找的东西，有可能一直就在身边。 ,92528人评价
荒岛余生,239,8.5,一个人的独角戏。,126355人评价
巴黎淘气帮,240,8.6,四百击的反面。,101684人评价
头脑特工队,241,8.7,愿我们都不用长大，每一座城堡都能永远存在。,208662人评价
与狼共舞,242,8.9,充满诗意与情怀的史诗作品。 ,54178人评价
月球,243,8.5,2009媲美《第九区》的又一部科幻神作。,137046人评价
偷拐抢骗,244,8.5,典型盖·里奇式的英国黑色幽默黑帮片。,111670人评价
我爱你,245,9.0,你要相信，这世上真的有爱存在，不管在什么年纪 ,52816人评价
夜访吸血鬼,246,8.3,弥漫淡淡血腥气的优雅。,190430人评价
彗星来的那一夜,247,8.4,小成本大魅力。,160506人评价
寿司之神,248,8.8,仪式主义的狂欢，偏执狂的完胜。,78317人评价
步履不停,249,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,61058人评价
廊桥遗梦,250,8.6,这样确切的爱，一生只有一次。,93976人评价
